season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
2024/25,Mohammeed Salah,Defender,Arrival,Punjab FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Lalthuammawia Ralte,Goalkeeper,Arrival,Odisha FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Rahul Bheke,Defender,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Alberto Noguera,Midfielder,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Edgar Mendez,Forward,Arrival,Club Necaxa,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Jorge Pereyra Díaz,Forward,Arrival,Mumbai City FC,Bengaluru FC,Free,Joined,7 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Pedro Capo,Midfielder,Arrival,CD Eldense,Bengaluru FC,Free,Joined,16 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Lara Sharma,Goalkeeper,Departure,Bengaluru FC,FC Goa,"₹30 lakh (US$31,000)",Departed,18 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Javi Hernández,Midfielder,Departure,Bengaluru FC,Jamshedpur FC,Free,Departed,25 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Oliver Drost,Forward,Departure,Bengaluru FC,FC Helsingør,Free,Departed,"₹2 crore (US$210,000)",Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Slavko Damjanovic,Defender,Departure,Bengaluru FC,Persebaya Surabaya,Free,Departed,6 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Rohit Kumar,Midfielder,Departure,Bengaluru FC,Odisha FC,Free,Departed,12 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Jayesh Rane,Midfielder,Departure,Bengaluru FC,Mumbai City FC,Free,Departed,21 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Amrit Gope,Goalkeeper,Departure,Bengaluru FC,Jamshedpur FC,Free,Departed,27 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Robin Yadav,Defender,Departure,Bengaluru FC,NorthEast United FC,Free,Departed,13 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Keziah Veendorp,Midfielder,Departure,Bengaluru FC,Without a club,Free,Departed,12 July 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Shankar Sampingiraj,Defender,Departure,Bengaluru FC,SC Bengaluru,Free,Departed,1 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Parag Shrivas,Defender,Departure,Bengaluru FC,Hyderabad FC,Free,Departed,1 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Ajay Chhetri,Midfielder,Departure,Bengaluru FC,Sreenidi Deccan FC,Free,Departed,1 June 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Salam Johnson Singh,Forward,Departure,Bengaluru FC,SC Bengaluru,Undisclosed,Departed,11 September 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
2024/25,Salam Johnson Singh,Forward,Loan Out,Bengaluru FC,SC Bengaluru,Undisclosed,Loaned Out,11 September 2024,Wikipedia,https://en.wikipedia.org/wiki/2024%E2%80%9325_Bengaluru_FC_season,Verified
