season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
2023/24,Sahil Poonia,Goalkeeper,Arrival,Zinc FA,Bengaluru FC,Free,Joined,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Halicharan Narzary,Forward,Arrival,Hyderabad,Bengaluru FC,Free,Joined,14 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Vikram Lakhbir Singh,Goalkeeper,Arrival,Aizawl,Bengaluru FC,Free,Joined,21 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Slavko Damjanović,Defender,Arrival,Mohun Bagan,Bengaluru FC,Free,Joined,28 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Rohit Danu,Forward,Arrival,Hyderabad,Bengaluru FC,Free,Joined,7 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Salam Johnson Singh,Forward,Arrival,TRAU,Bengaluru FC,Free,Joined,10 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Curtis Main,Forward,Arrival,St Mirren,Bengaluru FC,Free,Joined,18 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Jessel Carneiro,Defender,Arrival,Kerala Blasters,Bengaluru FC,Free,Joined,25 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Shankar Sampingiraj,Midfielder,Arrival,Punjab,Bengaluru FC,Free,Joined,25 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Ryan Williams,Midfielder,Arrival,Perth Glory,Bengaluru FC,Free,Joined,28 July 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Keziah Veendorp,Midfielder,Arrival,Emmen,Bengaluru FC,Free,Joined,5 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Chinglensana Singh Konsham,Defender,Arrival,Hyderabad FC,Bengaluru FC,Free,Joined,30 January 2024,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Nikhil Poojary,Defender,Arrival,Hyderabad FC,Bengaluru FC,Free,Joined,1 February 2024,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Robin Yadav,Defender,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Ankith Padmanabhan,Forward,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Harsh Patre,Midfielder,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,31 August 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Chingambam Shivaldo Singh,Defender,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 December 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
2023/24,Monirul Molla,Forward,Internal Promotion,Bengaluru B,Bengaluru FC,Free (Youth Promotion),Promoted,1 June 2023,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
