season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
2022/23,Prabir Das,Defender,Arrival,ATK Mohun Bagan,Bengaluru FC,Undisclosed,Joined,20 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Javi Hernández,Midfielder,Arrival,Odisha,Bengaluru FC,Free,Joined,22 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Faisal Ali,Forward,Arrival,Mohammedan,Bengaluru FC,Free,Joined,1 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Amrit Gope,Goalkeeper,Arrival,TRAU,Bengaluru FC,Free,Joined,1 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Hira Mondal,Defender,Arrival,East Bengal,Bengaluru FC,Free,Joined,5 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Roy Krishna,Forward,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,18 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Aleksander Jovanovic,Defender,Arrival,Macarthur FC,Bengaluru FC,Free,Joined,22 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Sudheer Kotikala,Forward,Arrival,Kickstart FC,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Ankith Padmanabhan,Forward,Arrival,Kickstart FC,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Clarence Fernandes,Defender,Arrival,Dempo U-18,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Felixson Fernandes,Defender,Arrival,RF Young Champs,Bengaluru FC,Free,Joined,23 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Sandesh Jhingan,Defender,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,14 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Pratik Chaudhari,Defender,Departure,Bengaluru FC,Jamshedpur,Free,Departed,5 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Sarthak Golui,Defender,Departure,Bengaluru FC,East Bengal,Free,Departed,5 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Iman Basafa,Midfielder,Departure,Bengaluru FC,Kheybar Khorramabad,Free,Departed,6 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Cleiton Silva,Forward,Departure,Bengaluru FC,East Bengal,Free,Departed,6 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Ashique Kuruniyan,Forward,Departure,Bengaluru FC,ATK Mohun Bagan,Undisclosed,Departed,20 June 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Yrondu Musavu-King,Defender,Departure,Bengaluru FC,Without a club,Free,Departed,15 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Ajith Kumar,Defender,Departure,Bengaluru FC,Chennaiyin,Undisclosed,Departed,28 July 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Bidyashagar Singh,Forward,Departure,Bengaluru FC,Kerala Blasters,Undisclosed,Departed,17 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Ajay Chhetri,Midfielder,Departure,Bengaluru FC,Punjab FC,Undisclosed,Departed,1 September 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Rahul Raju,Forward,Departure,Bengaluru FC,Gokulam Kerala,Undisclosed,Departed,31 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Bidyashagar Singh,Forward,Loan Out,Bengaluru FC,Kerala Blasters,Undisclosed,Loaned Out,17 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Ajay Chhetri,Midfielder,Loan Out,Bengaluru FC,Punjab FC,Undisclosed,Loaned Out,1 September 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
2022/23,Rahul Raju,Forward,Loan Out,Bengaluru FC,Gokulam Kerala,Undisclosed,Loaned Out,31 August 2022,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
