season,player_name,position,transfer_type,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
2021/22,Rohit Kumar,Midfielder,Arrival,Kerala Blasters,Bengaluru FC,Free,Joined,29 June 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Sarthak Golui,Defender,Arrival,East Bengal,Bengaluru FC,Free,Joined,12 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Prince Ibara,Forward,Arrival,Châteauroux,Bengaluru FC,Free,Joined,16 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Harmanpreet Singh,Forward,Arrival,East Bengal,Bengaluru FC,Free,Joined,19 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Jayesh Rane,Midfielder,Arrival,ATK Mohun Bagan,Bengaluru FC,Free,Joined,22 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Danish Farooq Bhat,Midfielder,Arrival,Real Kashmir,Bengaluru FC,Free,Joined,25 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Bidyashagar Singh,Forward,Arrival,TRAU,Bengaluru FC,Undisclosed,Joined,28 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Bruno Ramires,Midfielder,Arrival,Belenenses,Bengaluru FC,Free,Joined,28 August 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Iman Basafa,Midfielder,Arrival,Machine Sazi,Bengaluru FC,Free,Joined,14 September 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Alan Costa,Defender,Arrival,Avaí,Bengaluru FC,Undisclosed,Joined,6 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Alan Costa,Defender,Loan In,Avaí,Bengaluru FC,Undisclosed,Loaned In,6 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Harmanjot Khabra,Midfielder,Departure,Bengaluru FC,Kerala Blasters,Free,Departed,30 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Dimas Delgado,Midfielder,Departure,Bengaluru FC,–,Free,Departed,30 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Rahul Bheke,Defender,Departure,Bengaluru FC,Mumbai City,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Thongkhosiem Haokip,Forward,Departure,Bengaluru FC,East Bengal,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Fran González,Defender,Departure,Bengaluru FC,Unknown,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
2021/22,Xisco Hernández,Midfielder,Departure,Bengaluru FC,Unknown,Free,Departed,31 May 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
2021/22,Juanan,Defender,Departure,Bengaluru FC,Hyderabad,Released,Departed,28 June 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Joe Zoherliana,Defender,Departure,Bengaluru FC,NorthEast United,Released,Departed,26 July 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Lalthuammawia Ralte,Goalkeeper,Departure,Bengaluru FC,RoundGlass Punjab,Undisclosed,Departed,28 August 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
2021/22,Emanuel Lalchhanchhuaha,Midfielder,Departure,Bengaluru FC,NorthEast United,Undisclosed,Departed,8 September 2021,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
