id,season,player_id,player_name,transfer_type,position,from_club,to_club,transfer_fee,transfer_status,transfer_date,source,source_url,validation_status
29,2021/22,p58,Prince Ibara,Arrival,Forward,Châteauroux,Bengaluru FC,Free,Joined,2021-07-16,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
30,2021/22,p37,Harmanpreet Singh,Arrival,Forward,East Bengal,Bengaluru FC,Free,Joined,2021-07-19,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
31,2021/22,p59,Jayesh Rane,Arrival,Midfielder,ATK Mohun Bagan,Bengaluru FC,Free,Joined,2021-07-22,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
32,2021/22,p60,Danish Farooq Bhat,Arrival,Midfielder,Real Kashmir,Bengaluru FC,Free,Joined,2021-07-25,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
33,2021/22,p37,Bidyashagar Singh,Arrival,Forward,TRAU,Bengaluru FC,Undisclosed,Joined,2021-07-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
34,2021/22,p18,Bruno Ramires,Arrival,Midfielder,Belenenses,Bengaluru FC,Free,Joined,2021-08-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
35,2021/22,p61,Iman Basafa,Arrival,Midfielder,Machine Sazi,Bengaluru FC,Free,Joined,2021-09-14,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
36,2021/22,p19,Alan Costa,Loan In,Defender,Avaí,Bengaluru FC,Undisclosed,Loaned In,2021-07-06,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
37,2021/22,p62,Harmanjot Khabra,Departure,Midfielder,Bengaluru FC,Kerala Blasters,Free,Departed,2021-05-30,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
38,2021/22,p63,Dimas Delgado,Departure,Midfielder,Bengaluru FC,–,Free,Departed,2021-05-30,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
39,2021/22,p09,Rahul Bheke,Departure,Defender,Bengaluru FC,Mumbai City,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
40,2021/22,p64,Thongkhosiem Haokip,Departure,Forward,Bengaluru FC,East Bengal,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
41,2021/22,p44,Fran González,Departure,Defender,Bengaluru FC,Unknown,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
42,2021/22,p15,Xisco Hernández,Departure,Midfielder,Bengaluru FC,Unknown,Free,Departed,2021-05-31,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Partial
43,2021/22,p65,Juanan,Departure,Defender,Bengaluru FC,Hyderabad,Released,Departed,2021-06-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
44,2021/22,p41,Joe Zoherliana,Departure,Defender,Bengaluru FC,NorthEast United,Released,Departed,2021-07-26,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
45,2021/22,p34,Lalthuammawia Ralte,Departure,Goalkeeper,Bengaluru FC,RoundGlass Punjab,Undisclosed,Departed,2021-08-28,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
46,2021/22,p66,Emanuel Lalchhanchhuaha,Departure,Midfielder,Bengaluru FC,NorthEast United,Undisclosed,Departed,2021-09-08,Wikipedia,https://en.wikipedia.org/wiki/2021%E2%80%9322_Bengaluru_FC_season,Verified
47,2022/23,p67,Prabir Das,Arrival,Defender,ATK Mohun Bagan,Bengaluru FC,Undisclosed,Joined,2022-06-20,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
48,2022/23,p15,Javi Hernández,Arrival,Midfielder,Odisha,Bengaluru FC,Free,Joined,2022-06-22,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
49,2022/23,p68,Faisal Ali,Arrival,Forward,Mohammedan,Bengaluru FC,Free,Joined,2022-07-01,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
50,2022/23,p38,Amrit Gope,Arrival,Goalkeeper,TRAU,Bengaluru FC,Free,Joined,2022-07-01,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
51,2022/23,p69,Hira Mondal,Arrival,Defender,East Bengal,Bengaluru FC,Free,Joined,2022-07-05,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
52,2022/23,p17,Roy Krishna,Arrival,Forward,ATK Mohun Bagan,Bengaluru FC,Free,Joined,2022-07-18,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
53,2022/23,p10,Aleksandar Jovanović,Arrival,Defender,Macarthur FC,Bengaluru FC,Free,Joined,2022-07-22,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
54,2022/23,p70,Sudheer Kotikala,Arrival,Forward,Kickstart FC,Bengaluru FC,Free,Joined,2022-07-23,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
55,2022/23,p71,Ankith Padmanabhan,Arrival,Forward,Kickstart FC,Bengaluru FC,Free,Joined,2022-07-23,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
56,2022/23,p31,Clarence Fernandes,Arrival,Defender,Dempo U-18,Bengaluru FC,Free,Joined,2022-07-23,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
57,2022/23,p31,Felixson Fernandes,Arrival,Defender,RF Young Champs,Bengaluru FC,Free,Joined,2022-07-23,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
58,2022/23,p72,Sandesh Jhingan,Arrival,Defender,ATK Mohun Bagan,Bengaluru FC,Free,Joined,2022-08-14,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
59,2022/23,p39,Pratik Chaudhari,Departure,Defender,Bengaluru FC,Jamshedpur,Free,Departed,2022-06-05,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
60,2022/23,p57,Sarthak Golui,Departure,Defender,Bengaluru FC,East Bengal,Free,Departed,2022-06-05,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
61,2022/23,p61,Iman Basafa,Departure,Midfielder,Bengaluru FC,Kheybar Khorramabad,Free,Departed,2022-06-06,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
62,2022/23,p16,Cleiton Silva,Departure,Forward,Bengaluru FC,East Bengal,Free,Departed,2022-06-06,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
63,2022/23,p26,Ashique Kuruniyan,Departure,Forward,Bengaluru FC,ATK Mohun Bagan,Undisclosed,Departed,2022-06-20,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
64,2022/23,p46,Yrondu Musavu-King,Departure,Defender,Bengaluru FC,Without a club,Free,Departed,2022-07-15,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
65,2022/23,p40,Ajith Kumar,Departure,Defender,Bengaluru FC,Chennaiyin,Undisclosed,Departed,2022-07-28,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
66,2022/23,p37,Bidyashagar Singh,Loan Out,Forward,Bengaluru FC,Kerala Blasters,Undisclosed,Loaned Out,2022-08-17,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
67,2022/23,p02,Ajay Chhetri,Loan Out,Midfielder,Bengaluru FC,Punjab FC,Undisclosed,Loaned Out,2022-09-01,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
68,2022/23,p73,Rahul Raju,Loan Out,Forward,Bengaluru FC,Gokulam Kerala,Undisclosed,Loaned Out,2022-08-31,Wikipedia,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bengaluru_FC_season,Verified
69,2023/24,p33,Sahil Poonia,Arrival,Goalkeeper,Zinc FA,Bengaluru FC,Free,Joined,2023-06-01,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
70,2023/24,p21,Halicharan Narzary,Arrival,Forward,Hyderabad,Bengaluru FC,Free,Joined,2023-06-14,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
71,2023/24,p37,Vikram Lakhbir Singh,Arrival,Goalkeeper,Aizawl,Bengaluru FC,Free,Joined,2023-06-21,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
72,2023/24,p22,Slavko Damjanović,Arrival,Defender,Mohun Bagan,Bengaluru FC,Free,Joined,2023-06-28,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
73,2023/24,p74,Rohit Danu,Arrival,Forward,Hyderabad,Bengaluru FC,Free,Joined,2023-07-07,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
74,2023/24,p37,Salam Johnson Singh,Arrival,Forward,TRAU,Bengaluru FC,Free,Joined,2023-07-10,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
75,2023/24,p25,Curtis Main,Arrival,Forward,St Mirren,Bengaluru FC,Free,Joined,2023-07-18,Wikipedia,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bengaluru_FC_season,Verified
